Time	Compartments[Venous balloon].Volume	Values[is_rising]	Values[is_falling]	Values[is_maximum]	Values[slope_up]	Values[maximum]	Values[slope_down]	Values[F_in]	Values[F_out]
192	0.02902645	0	0	1	0.2304	0.006	0.2076	0.018	0.018
193.5	0.02902645	0	0	1	0.2322	0.006	0.2058	0.018	0.018
195	0.02902645	0	0	1	0.234	0.006	0.204	0.018	0.018
196.5	0.02902645	0	0	1	0.2358	0.006	0.2022	0.018	0.018
198	0.02902645	0	0	1	0.2376	0.006	0.2004	0.018	0.018
199.5	0.02902645	0	0	1	0.2394	0.006	0.1986	0.018	0.018
201	0.02902645	0	0	1	0.2412	0.006	0.1968	0.018	0.018
202.5	0.02902645	0	0	1	0.243	0.006	0.195	0.018	0.018
204	0.02902645	0	0	1	0.2448	0.006	0.1932	0.018	0.018
205.5	0.02902645	0	0	1	0.2466	0.006	0.1914	0.018	0.018
207	0.02902645	0	0	1	0.2484	0.006	0.1896	0.018	0.018
208.5	0.02902645	0	0	1	0.2502	0.006	0.1878	0.018	0.018
210	0.02902645	0	0	1	0.252	0.006	0.186	0.018	0.018
211.5	0.02902645	0	0	1	0.2538	0.006	0.1842	0.018	0.018
213	0.02902645	0	0	1	0.2556	0.006	0.1824	0.018	0.018
214.5	0.02902645	0	0	1	0.2574	0.006	0.1806	0.018	0.018
216	0.02902645	0	0	1	0.2592	0.006	0.1788	0.018	0.018
217.5	0.02902645	0	0	1	0.261	0.006	0.177	0.018	0.018
219	0.02902645	0	0	1	0.2628	0.006	0.1752	0.018	0.018
220.5	0.02902645	0	0	1	0.2646	0.006	0.1734	0.018	0.018
222	0.02902645	0	0	1	0.2664	0.006	0.1716	0.018	0.018
223.5	0.02902645	0	0	1	0.2682	0.006	0.1698	0.018	0.018
225	0.02902645	0	0	1	0.27	0.006	0.168	0.018	0.018
226.5	0.02902645	0	0	1	0.2718	0.006	0.1662	0.018	0.018
228	0.02902645	0	0	1	0.2736	0.006	0.1644	0.018	0.018
229.5	0.02902645	0	0	1	0.2754	0.006	0.1626	0.018	0.018
231	0.02902645	0	0	1	0.2772	0.006	0.1608	0.018	0.018
232.5	0.02902645	0	0	1	0.279	0.006	0.159	0.018	0.018
234	0.02902645	0	0	1	0.2808	0.006	0.1572	0.018	0.018
235.5	0.02902645	0	0	1	0.2826	0.006	0.1554	0.018	0.018
237	0.02902645	0	0	1	0.2844	0.006	0.1536	0.018	0.018
238.5	0.02902645	0	0	1	0.2862	0.006	0.1518	0.018	0.018
240	0.02902645	0	0	1	0.288	0.006	0.15	0.018	0.018
241.5	0.02902645	0	0	1	0.2898	0.006	0.1482	0.018	0.018
243	0.02902645	0	0	1	0.2916	0.006	0.1464	0.018	0.018
244.5	0.02902645	0	0	1	0.2934	0.006	0.1446	0.018	0.018
